ID,Material Name,Category,Unit Cost (USD),Stock Level,Monthly Sales,Avg Lead Time (days),Durability (1-10),Eco-Friendly,Recommended For,Customer Rating (1-5),Image URL,Popular Regions,Seasonality Index,Year,Month
146,Thermal Insulated Box,Bag,0.4,954,1173.35,13,6,Yes,"Clothing, Cosmetics",4.5,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,"UAE, Latin America",0.78,2036,August
147,Stretch Film,Filler,0.09,1665,1503.84,14,9,Yes,"Books, Clothing",3.8,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,Australia,1.23,2036,September
148,Kraft Paper,Bag,1.55,2046,1489.51,13,9,No,Glassware,4.2,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Latin America, Europe",1.23,2036,October
149,Padded Envelope,Wrap,0.22,2389,2055.25,15,3,Yes,"Glassware, Tools, Electronics",3.0,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Asia,1.4,2036,November
150,Jiffy Bag,Wrap,1.81,1554,2054.41,3,5,No,"Jewelry, Books, Toys",4.6,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,"Latin America, North America",1.43,2036,December
151,Corrugated Cardboard,Box,0.18,3627,1816.31,5,3,No,Clothing,3.2,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Europe, Asia",1.27,2037,January
152,Thermal Insulated Box,Box,0.79,579,1515.73,2,7,No,Toys,4.4,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,"Australia, North America",1.05,2037,February
153,Bubble Wrap,Filler,0.06,407,1755.46,3,8,No,"Cosmetics, Glassware, Clothing",4.7,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"Africa, North America",1.35,2037,March
154,Plastic Mailer,Bag,0.11,3301,1670.32,9,9,No,"Toys, Electronics, Books",4.7,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Asia, Australia",1.17,2037,April
155,Corrugated Cardboard,Envelope,0.32,695,2111.08,8,4,No,Accessories,3.1,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Australia, Asia",1.47,2037,May
156,Padded Envelope,Wrap,1.79,1421,1217.82,14,3,No,"Clothing, Glassware, Electronics",5.0,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Latin America,0.94,2037,June
157,Plastic Mailer,Envelope,0.82,919,1324.43,8,4,No,"Jewelry, Food, Glassware",3.9,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,Latin America,0.8,2037,July
158,Corrugated Cardboard,Filler,1.08,2817,2133.54,13,7,No,"Tools, Jewelry",3.5,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,North America,1.46,2037,August
159,Kraft Paper,Box,1.01,1680,1683.73,10,5,Yes,"Jewelry, Food, Cosmetics",4.2,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Africa, UAE",1.37,2037,September
160,Corrugated Cardboard,Box,0.25,4267,1457.08,7,9,No,"Jewelry, Cosmetics",3.2,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,Europe,0.98,2037,October
161,Thermal Insulated Box,Envelope,1.49,3593,1385.15,7,3,Yes,"Jewelry, Cosmetics",4.3,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,Australia,1.1,2037,November
162,Kraft Paper,Filler,1.56,316,1309.38,13,8,No,"Toys, Clothing, Food",4.3,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Australia, Asia",0.87,2037,December
163,Kraft Paper,Envelope,0.47,2246,2179.61,15,6,No,Glassware,4.1,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,Europe,1.4,2038,January
164,Kraft Paper,Box,1.95,4425,1011.76,10,7,Yes,Electronics,4.5,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"North America, UAE",0.79,2038,February
165,Jiffy Bag,Wrap,1.94,529,2294.44,11,6,No,"Food, Cosmetics, Accessories",3.8,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,"North America, Africa",1.5,2038,March
166,Stretch Film,Filler,1.49,2197,1191.3,5,7,No,"Tools, Books",4.9,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,Europe,0.82,2038,April
167,Corrugated Cardboard,Filler,0.89,4045,1781.69,2,7,Yes,"Cosmetics, Accessories, Food",4.5,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,Africa,1.18,2038,May
168,Padded Envelope,Filler,0.22,4883,1975.23,8,5,No,"Jewelry, Accessories, Books",4.6,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Africa,1.19,2038,June
169,Jiffy Bag,Filler,0.17,3647,952.69,15,6,Yes,"Clothing, Glassware",4.1,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,"North America, UAE",0.7,2038,July
170,Plastic Mailer,Box,1.07,3013,1715.77,10,6,Yes,Toys,3.9,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,Australia,1.33,2038,August
171,Biodegradable Foam,Bag,0.55,704,991.47,9,8,Yes,"Electronics, Glassware, Food",3.5,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,Europe,0.78,2038,September
172,Honeycomb Paper,Envelope,0.21,3621,973.86,9,4,Yes,"Books, Accessories",4.6,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"Australia, UAE",0.76,2038,October
173,Stretch Film,Box,1.3,1678,1605.97,14,4,Yes,"Clothing, Jewelry, Books",3.3,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,Africa,1.16,2038,November
174,Stretch Film,Envelope,1.24,4840,1139.82,5,4,Yes,Food,4.6,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"Africa, North America",0.79,2038,December
175,Thermal Insulated Box,Envelope,0.95,3843,1806.61,14,4,Yes,"Cosmetics, Electronics, Food",3.5,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,Asia,1.26,2039,January
176,Padded Envelope,Bag,1.77,418,1540.84,12,9,No,Clothing,4.8,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"North America, Europe",1.02,2039,February
177,Jiffy Bag,Filler,1.53,1861,1983.78,14,4,Yes,"Clothing, Electronics, Glassware",4.7,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,"North America, UAE",1.42,2039,March
178,Stretch Film,Wrap,1.67,983,2381.04,5,8,No,"Clothing, Tools, Toys",4.0,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"UAE, Latin America",1.49,2039,April
179,Plastic Mailer,Filler,0.74,932,1562.03,8,5,Yes,"Electronics, Toys",3.2,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,Asia,1.15,2039,May
180,Corrugated Cardboard,Envelope,1.52,2024,1544.02,13,6,Yes,Accessories,3.9,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Latin America, UAE",0.87,2039,June
181,Kraft Paper,Envelope,1.24,3754,2134.81,8,4,Yes,"Food, Jewelry",4.1,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Africa, Europe",1.44,2039,July
182,Stretch Film,Box,0.26,886,1046.01,15,4,Yes,Cosmetics,4.2,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"Australia, Asia",0.82,2039,August
183,Plastic Mailer,Box,0.59,4597,1731.67,2,5,Yes,Glassware,4.8,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Europe, Australia",1.39,2039,September
184,Stretch Film,Box,0.27,4147,1915.92,12,9,Yes,"Accessories, Electronics",3.7,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,Asia,1.31,2039,October
185,Rigid Boxes,Box,1.39,614,2032.42,4,8,No,"Books, Food, Tools",3.0,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"Africa, North America",1.49,2039,November
186,Padded Envelope,Box,1.93,2889,1913.39,4,8,Yes,"Clothing, Accessories, Tools",4.5,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Asia, Australia",1.28,2039,December
187,Honeycomb Paper,Envelope,0.12,1105,2177.25,4,4,No,Food,3.9,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,Europe,1.49,2040,January
188,Jiffy Bag,Envelope,0.38,1668,1675.92,13,8,Yes,"Cosmetics, Electronics, Food",3.1,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,"Africa, Latin America",1.21,2040,February
189,Corrugated Cardboard,Box,1.66,4241,1506.94,2,7,No,"Accessories, Jewelry, Cosmetics",4.1,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Europe, North America",1.18,2040,March
190,Biodegradable Foam,Filler,1.71,2340,1669.25,6,5,Yes,"Accessories, Clothing, Cosmetics",4.3,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"Australia, UAE",1.41,2040,April
191,Padded Envelope,Filler,1.8,3400,1412.89,11,6,No,"Tools, Accessories",3.2,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Europe, Africa",1.06,2040,May
192,Stretch Film,Envelope,1.86,4779,1075.44,8,7,No,Books,3.3,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,North America,0.71,2040,June
193,Rigid Boxes,Wrap,0.83,1723,1268.33,7,8,Yes,Toys,4.6,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"Asia, Africa",0.89,2040,July
194,Biodegradable Foam,Box,1.28,278,1538.97,8,10,Yes,Glassware,3.9,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"Asia, Latin America",1.26,2040,August
195,Corrugated Cardboard,Envelope,1.73,4238,1206.47,15,6,Yes,"Clothing, Toys",3.1,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"North America, Africa",0.85,2040,September
196,Jiffy Bag,Bag,0.44,2471,1970.61,5,5,Yes,Jewelry,5.0,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,Europe,1.36,2040,October
197,Stretch Film,Bag,1.7,4890,1488.12,12,3,No,Toys,4.6,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"Europe, Africa",1.17,2040,November
198,Jiffy Bag,Bag,0.72,106,1246.66,3,3,Yes,"Food, Toys, Clothing",3.5,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,North America,0.88,2040,December
199,Stretch Film,Filler,1.71,120,982.34,14,8,No,"Books, Cosmetics, Food",4.4,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"UAE, North America",0.7,2041,January
200,Kraft Paper,Wrap,1.69,4476,1272.82,7,7,No,Clothing,4.3,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Africa, UAE",1.03,2041,February
201,Jiffy Bag,Box,1.4,4528,1806.42,14,8,Yes,"Cosmetics, Glassware, Toys",4.1,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,Asia,1.25,2041,March
202,Thermal Insulated Box,Box,1.03,3870,1222.97,6,3,No,Food,3.0,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,UAE,0.83,2041,April
203,Kraft Paper,Box,1.61,4963,1639.1,12,10,No,"Electronics, Jewelry",4.6,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Australia, UAE",1.06,2041,May
204,Kraft Paper,Filler,1.79,1185,1773.58,3,6,No,Jewelry,4.2,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,Europe,1.15,2041,June
205,Bubble Wrap,Envelope,0.34,4782,974.43,8,7,Yes,"Tools, Accessories, Jewelry",4.4,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,North America,0.81,2041,July
206,Kraft Paper,Bag,1.27,3766,1757.47,9,3,Yes,"Toys, Glassware, Books",3.0,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,Latin America,1.39,2041,August
207,Corrugated Cardboard,Envelope,1.7,3372,1877.86,11,3,Yes,Electronics,4.4,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Asia, North America",1.28,2041,September
208,Bubble Wrap,Wrap,1.86,3452,1261.53,13,3,Yes,"Glassware, Jewelry",4.4,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"North America, Latin America",0.86,2041,October
209,Padded Envelope,Wrap,0.49,352,1481.75,14,5,No,"Jewelry, Glassware",4.9,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Asia,1.01,2041,November
210,Corrugated Cardboard,Box,1.18,1377,1507.55,8,7,Yes,"Electronics, Jewelry",4.0,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,North America,0.78,2041,December
211,Padded Envelope,Filler,1.26,947,1371.63,2,4,Yes,"Clothing, Food",3.6,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Latin America,0.93,2042,January
212,Honeycomb Paper,Wrap,1.23,3145,1740.09,5,3,Yes,"Electronics, Food, Accessories",4.7,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"North America, Africa",1.12,2042,February
213,Padded Envelope,Box,0.75,4018,2063.23,5,3,No,Toys,3.6,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Latin America, Europe",1.35,2042,March
214,Shrink Wrap,Box,0.82,561,1129.44,13,7,No,"Clothing, Accessories",3.7,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,Europe,0.76,2042,April
215,Padded Envelope,Wrap,0.88,362,1594.45,4,4,No,"Books, Tools",3.7,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Asia,1.18,2042,May
216,Padded Envelope,Envelope,1.68,1341,1651.22,2,10,No,Accessories,3.4,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Europe, UAE",1.1,2042,June
217,Honeycomb Paper,Filler,0.53,3163,1828.09,5,3,Yes,"Food, Electronics",3.7,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"North America, Europe",1.42,2042,July
218,Corrugated Cardboard,Bag,1.35,1849,1103.36,3,8,Yes,Accessories,5.0,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"North America, Latin America",0.81,2042,August
219,Plastic Mailer,Box,0.94,1238,1977.97,12,6,Yes,"Electronics, Food, Jewelry",4.6,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Asia, North America",1.49,2042,September
220,Bubble Wrap,Envelope,1.6,4489,1533.24,8,6,No,"Glassware, Accessories",4.6,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,Asia,1.09,2042,October
221,Shrink Wrap,Box,0.32,4500,2027.43,4,3,Yes,Jewelry,4.9,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,Latin America,1.18,2042,November
222,Shrink Wrap,Wrap,1.68,906,1248.16,2,4,No,"Toys, Books",4.9,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,Europe,1.1,2042,December
223,Rigid Boxes,Envelope,0.88,781,2087.35,2,9,No,Toys,4.9,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"North America, Australia",1.4,2043,January
224,Thermal Insulated Box,Filler,1.78,1117,1486.16,12,4,Yes,"Clothing, Accessories",4.3,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,North America,1.27,2043,February
225,Kraft Paper,Wrap,1.83,2450,1542.07,12,3,No,"Toys, Tools, Jewelry",3.7,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"North America, Australia",1.16,2043,March
226,Thermal Insulated Box,Envelope,1.08,924,1964.88,2,6,Yes,Books,4.0,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,"North America, Australia",1.27,2043,April
227,Biodegradable Foam,Box,0.61,3320,1277.81,14,7,Yes,"Toys, Books",4.0,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"Europe, Asia",0.91,2043,May
228,Biodegradable Foam,Wrap,1.35,870,1593.4,11,7,Yes,"Books, Cosmetics, Tools",4.9,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"Latin America, Europe",1.28,2043,June
229,Shrink Wrap,Bag,1.68,1227,1114.06,9,8,No,Jewelry,3.1,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,"Africa, Australia",0.86,2043,July
230,Jiffy Bag,Bag,0.47,4596,1206.93,9,3,Yes,Tools,3.2,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,"Australia, Latin America",0.81,2043,August
231,Kraft Paper,Wrap,1.67,700,1176.92,11,6,No,"Food, Accessories, Glassware",3.6,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Asia, Africa",0.91,2043,September
232,Biodegradable Foam,Filler,0.7,1214,1653.48,14,5,Yes,"Tools, Food, Glassware",4.1,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,Europe,1.16,2043,October
233,Padded Envelope,Envelope,0.23,3847,1303.46,4,8,No,"Clothing, Food",4.2,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Europe,0.93,2043,November
234,Rigid Boxes,Wrap,1.37,4124,1108.66,15,10,No,Cosmetics,4.1,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,Australia,0.85,2043,December
235,Jiffy Bag,Bag,1.49,3710,2050.15,2,4,No,"Glassware, Jewelry, Clothing",3.2,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,Africa,1.21,2044,January
236,Biodegradable Foam,Wrap,1.05,3577,1557.84,8,7,Yes,"Jewelry, Glassware",3.1,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,Australia,1.05,2044,February
237,Biodegradable Foam,Filler,0.99,2511,1579.98,6,6,Yes,"Glassware, Tools",4.0,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"Latin America, Africa",1.42,2044,March
238,Rigid Boxes,Filler,0.18,3987,1577.57,7,5,No,"Tools, Clothing, Toys",4.9,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"Europe, North America",1.11,2044,April
239,Biodegradable Foam,Envelope,1.18,1889,1185.62,9,4,No,Glassware,4.4,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,UAE,0.91,2044,May
240,Shrink Wrap,Bag,0.41,2100,2165.23,8,10,Yes,"Glassware, Food",4.2,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,North America,1.43,2044,June
241,Plastic Mailer,Envelope,1.15,3825,1528.72,2,9,Yes,"Jewelry, Accessories, Books",3.2,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Australia, UAE",1.19,2044,July
242,Corrugated Cardboard,Filler,0.42,872,993.03,12,8,No,Accessories,3.7,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Europe, Asia",0.72,2044,August
243,Shrink Wrap,Filler,1.86,4974,1333.76,12,10,No,Cosmetics,4.9,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,UAE,0.91,2044,September
244,Padded Envelope,Envelope,0.4,2003,1394.73,15,5,No,Electronics,4.7,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Latin America,0.92,2044,October
245,Stretch Film,Box,1.28,4630,1706.57,14,4,Yes,"Jewelry, Electronics",3.1,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"Latin America, Europe",1.39,2044,November
246,Corrugated Cardboard,Wrap,1.23,3130,2009.33,2,8,No,Clothing,3.5,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,Europe,1.49,2044,December
247,Shrink Wrap,Bag,1.02,676,1608.03,2,9,Yes,"Tools, Jewelry",4.7,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,"North America, Europe",1.21,2045,January
248,Kraft Paper,Wrap,0.92,408,1486.63,5,7,No,Glassware,4.5,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Latin America, North America",1.14,2045,February
249,Bubble Wrap,Wrap,1.46,172,1690.78,9,3,Yes,"Tools, Food",3.9,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,Australia,1.03,2045,March
250,Kraft Paper,Box,1.64,1115,1800.13,5,8,Yes,"Jewelry, Food",5.0,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"UAE, Asia",1.24,2045,April
251,Rigid Boxes,Wrap,1.26,3083,1170.52,13,7,No,"Cosmetics, Toys",5.0,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,North America,0.96,2045,May
252,Stretch Film,Envelope,1.79,2000,1508.04,2,4,Yes,"Accessories, Electronics",3.2,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,Africa,0.99,2045,June
253,Plastic Mailer,Filler,0.71,612,2384.74,4,9,Yes,Cosmetics,3.1,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Australia, Latin America",1.41,2045,July
254,Kraft Paper,Envelope,1.99,1068,2185.76,3,10,Yes,Jewelry,3.9,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Europe, Africa",1.42,2045,August
255,Bubble Wrap,Bag,1.41,194,1064.91,9,10,No,"Electronics, Tools, Clothing",3.1,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,Latin America,0.9,2045,September
256,Kraft Paper,Filler,1.13,1420,1062.12,12,7,No,"Toys, Food, Cosmetics",3.4,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,North America,0.8,2045,October
257,Bubble Wrap,Wrap,0.76,910,1509.1,12,4,No,Glassware,3.5,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"North America, Asia",0.96,2045,November
258,Stretch Film,Envelope,1.51,4030,1477.99,3,6,Yes,"Food, Electronics, Cosmetics",3.6,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,Europe,1.14,2045,December
259,Shrink Wrap,Filler,1.56,1882,1661.14,2,9,No,"Clothing, Food",4.0,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,North America,1.14,2046,January
260,Thermal Insulated Box,Box,1.97,339,1984.35,15,3,No,"Clothing, Jewelry, Books",3.6,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,Europe,1.32,2046,February
261,Biodegradable Foam,Box,1.76,4728,1367.16,8,9,Yes,"Glassware, Tools",3.8,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,Europe,1.08,2046,March
262,Jiffy Bag,Wrap,0.44,2998,1345.3,4,10,No,"Jewelry, Accessories, Clothing",4.7,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,Latin America,0.97,2046,April
263,Biodegradable Foam,Bag,1.13,4576,782.68,8,7,Yes,"Books, Tools, Jewelry",4.9,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,UAE,0.83,2046,May
264,Jiffy Bag,Box,0.56,1182,1653.02,12,9,No,"Glassware, Cosmetics",4.1,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,"UAE, Asia",1.32,2046,June
265,Biodegradable Foam,Filler,1.04,4169,1523.17,3,9,Yes,"Tools, Toys",4.5,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,Europe,1.12,2046,July
266,Biodegradable Foam,Wrap,0.45,4425,1660.73,3,7,No,"Accessories, Electronics, Food",3.7,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"North America, Europe",1.36,2046,August
267,Honeycomb Paper,Bag,1.21,4057,1866.42,6,5,Yes,Toys,4.6,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,Africa,1.15,2046,September
268,Padded Envelope,Filler,1.18,3437,1650.04,6,6,Yes,"Books, Cosmetics, Jewelry",4.6,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Latin America, Africa",1.38,2046,October
269,Thermal Insulated Box,Envelope,1.89,632,1013.7,9,4,No,"Clothing, Electronics",3.6,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,"Asia, Australia",0.76,2046,November
270,Honeycomb Paper,Bag,1.93,1532,1879.9,15,8,No,"Clothing, Tools, Books",4.7,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"Latin America, Europe",1.33,2046,December
271,Kraft Paper,Bag,1.97,145,1324.93,15,8,Yes,"Jewelry, Glassware, Toys",3.4,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Latin America, Europe",0.83,2047,January
272,Shrink Wrap,Wrap,1.15,2860,1063.44,6,6,No,Clothing,3.3,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,"Asia, Africa",0.89,2047,February
273,Stretch Film,Bag,1.29,464,1713.25,13,3,No,"Books, Accessories",3.1,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"Australia, Latin America",1.1,2047,March
274,Bubble Wrap,Envelope,0.15,2682,1480.44,7,7,Yes,Accessories,4.5,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"Latin America, Europe",1.06,2047,April
275,Honeycomb Paper,Filler,0.95,1613,1535.09,14,7,No,Accessories,3.1,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"Australia, UAE",1.22,2047,May
276,Bubble Wrap,Filler,0.41,2183,1999.77,15,10,No,"Tools, Cosmetics",3.5,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"Asia, North America",1.37,2047,June
277,Corrugated Cardboard,Filler,1.48,4499,1209.54,5,3,Yes,"Glassware, Tools, Cosmetics",3.5,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Australia, North America",0.85,2047,July
278,Bubble Wrap,Wrap,1.3,4244,1744.26,7,8,No,"Toys, Clothing, Cosmetics",3.0,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,Latin America,1.33,2047,August
279,Plastic Mailer,Box,0.79,2668,1095.86,11,9,No,Food,3.0,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Latin America, UAE",0.78,2047,September
280,Biodegradable Foam,Wrap,0.06,4744,1234.14,13,5,No,Jewelry,4.8,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,Latin America,0.92,2047,October
281,Plastic Mailer,Filler,1.15,2756,1015.96,15,9,No,"Toys, Cosmetics, Clothing",3.3,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,North America,0.72,2047,November
282,Rigid Boxes,Filler,0.56,4674,1978.5,11,10,No,Toys,3.0,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,UAE,1.33,2047,December
283,Plastic Mailer,Box,1.83,4269,1551.84,14,8,No,Tools,3.6,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Asia, UAE",0.96,2048,January
284,Corrugated Cardboard,Box,0.98,3979,929.11,7,3,Yes,"Jewelry, Accessories",4.4,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"North America, Latin America",0.76,2048,February
285,Corrugated Cardboard,Envelope,0.61,1383,1337.33,6,5,No,Food,4.1,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Asia, UAE",0.79,2048,March
286,Padded Envelope,Envelope,1.34,3555,999.34,12,8,Yes,Jewelry,3.9,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Europe,0.89,2048,April
287,Rigid Boxes,Bag,1.51,776,1923.65,15,5,No,"Jewelry, Toys, Electronics",3.5,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"Europe, Africa",1.4,2048,May
288,Plastic Mailer,Filler,0.83,553,1152.29,2,8,No,"Glassware, Toys",4.7,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Africa, Asia",0.78,2048,June
289,Honeycomb Paper,Bag,0.23,4080,1678.27,5,5,No,"Clothing, Cosmetics, Toys",3.7,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,Europe,1.17,2048,July
290,Biodegradable Foam,Box,0.86,3418,1936.34,3,10,Yes,"Toys, Cosmetics",3.6,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"North America, Asia",1.48,2048,August
291,Rigid Boxes,Filler,0.35,4738,1434.49,7,3,No,Electronics,4.3,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"Africa, UAE",1.05,2048,September
